"Sens Factor =-1.482dB, SERNO: 7142078"
"Auto-generated 90-degree calibration file"
10.054	-2.9185
10.179	-2.7699
10.306	-2.6246
10.434	-2.4824
10.564	-2.3434
10.696	-2.2076
10.829	-2.0748
10.964	-1.9452
11.100	-1.8184
11.238	-1.6947
11.378	-1.5740
11.520	-1.4563
11.663	-1.3414
11.809	-1.2294
11.956	-1.1203
12.104	-1.0138
12.255	-0.9103
12.408	-0.8094
12.562	-0.7113
12.718	-0.6158
12.877	-0.5230
13.037	-0.4327
13.199	-0.3451
13.364	-0.2601
13.530	-0.1774
13.698	-0.0973
13.869	-0.0197
14.042	0.0555
14.216	0.1284
14.393	0.1989
14.573	0.2670
14.754	0.3329
14.938	0.3965
15.124	0.4579
15.312	0.5171
15.503	0.5741
15.696	0.6290
15.891	0.6818
16.089	0.7326
16.289	0.7813
16.492	0.8280
16.697	0.8728
16.905	0.9156
17.115	0.9566
17.328	0.9956
17.544	1.0328
17.763	1.0682
17.984	1.1019
18.208	1.1337
18.434	1.1640
18.664	1.1925
18.896	1.2193
19.131	1.2446
19.369	1.2683
19.611	1.2904
19.855	1.3110
20.102	1.3301
20.352	1.3478
20.605	1.3641
20.862	1.3790
21.122	1.3925
21.385	1.4047
21.651	1.4156
21.920	1.4253
22.193	1.4337
22.470	1.4409
22.749	1.4470
23.032	1.4519
23.319	1.4558
23.609	1.4586
23.903	1.4603
24.201	1.4611
24.502	1.4609
24.807	1.4597
25.116	1.4576
25.429	1.4547
25.745	1.4510
26.066	1.4464
26.390	1.4411
26.719	1.4350
27.051	1.4282
27.388	1.4207
27.729	1.4126
28.074	1.4039
28.424	1.3946
28.778	1.3847
29.136	1.3744
29.499	1.3635
29.866	1.3522
30.238	1.3405
30.614	1.3284
30.995	1.3159
31.381	1.3031
31.772	1.2900
32.167	1.2767
32.568	1.2631
32.973	1.2494
33.383	1.2355
33.799	1.2214
34.220	1.2073
34.646	1.1931
35.077	1.1789
35.514	1.1637
35.956	1.1490
36.403	1.1347
36.857	1.1209
37.315	1.1077
37.780	1.0952
38.250	1.0835
38.726	1.0726
39.209	1.0628
39.697	1.0539
40.191	1.0460
40.691	1.0390
41.198	1.0325
41.711	1.0265
42.230	1.0207
42.756	1.0150
43.288	1.0094
43.827	1.0038
44.372	0.9983
44.925	0.9929
45.484	0.9877
46.050	0.9825
46.623	0.9773
47.204	0.9722
47.791	0.9669
48.386	0.9614
48.989	0.9557
49.599	0.9496
50.216	0.9432
50.841	0.9365
51.474	0.9295
52.115	0.9224
52.764	0.9152
53.420	0.9081
54.085	0.9012
54.759	0.8946
55.440	0.8881
56.131	0.8820
56.829	0.8762
57.537	0.8707
58.253	0.8656
